;pais;Imunizados;media_vacinacao;vacina_utilizada
128;Maldives;653886.0;3290.566326530612;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing']
129;Nicaragua;612799.0;3426.0116279069766;['Oxford/AstraZeneca, Sputnik V']
130;Kosovo;601701.0;3950.0704225352115;['Oxford/AstraZeneca']
131;Macao;568863.0;2919.5759162303666;['Pfizer/BioNTech, Sinopharm/Beijing']
132;Zambia;548267.0;4140.170542635659;['Oxford/AstraZeneca, Sinopharm/Beijing']
133;Togo;535518.0;3251.3658536585367;['Oxford/AstraZeneca']
134;Timor;491569.0;3782.768;['Oxford/AstraZeneca, Sinovac']
135;Niger;485954.0;3264.028368794326;['Oxford/AstraZeneca, Sinopharm/Beijing']
136;Iceland;477205.0;2137.187214611872;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
137;Guyana;434965.0;2299.5806451612902;['Oxford/AstraZeneca, Sputnik V']
138;Jamaica;420627.0;2531.762195121951;['Johnson&Johnson, Oxford/AstraZeneca']
139;Cameroon;412524.0;3063.0687022900765;['Oxford/AstraZeneca, Sinopharm/Beijing']
140;Botswana;408023.0;2821.0141843971633;['Oxford/AstraZeneca']
141;Montenegro;372949.0;2010.8516483516485;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
142;Syria;355000.0;2071.8695652173915;['Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
143;Equatorial Guinea;329229.0;2064.0;['Sinopharm/Beijing']
144;Gambia;321385.0;1888.3602484472049;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing']
145;Yemen;311483.0;3834.721518987342;['Oxford/AstraZeneca']
146;Northern Cyprus;302854.0;1405.018779342723;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
147;Suriname;299732.0;1599.6666666666667;['Oxford/AstraZeneca']
148;Somalia;279869.0;1489.5981308411215;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac']
149;Congo;273790.0;2003.283464566929;['Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
150;Namibia;268556.0;1692.6026490066224;['Oxford/AstraZeneca, Sinopharm/Beijing']
151;Cape Verde;262164.0;1581.090322580645;['Oxford/AstraZeneca, Pfizer/BioNTech']
152;Mali;259719.0;1776.2424242424242;['Oxford/AstraZeneca']
153;Mauritania;253336.0;1722.2377622377621;['Oxford/AstraZeneca, Sinopharm/Beijing']
154;Brunei;246716.0;1658.3857142857144;['Oxford/AstraZeneca, Sinopharm/Beijing']
155;Comoros;239158.0;1764.8677685950413;['Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing']
156;Sierra Leone;225380.0;1793.5398230088495;['Oxford/AstraZeneca, Sinopharm/Beijing']
157;Armenia;220236.0;1529.985401459854;['Oxford/AstraZeneca, Sinovac, Sputnik V']
158;Tanzania;218621.0;14110.0;['Johnson&Johnson']
159;Belize;212380.0;1229.9705882352941;['Oxford/AstraZeneca, Sinopharm/Beijing']
160;Madagascar;197001.0;4186.553191489362;['Oxford/AstraZeneca']
161;Barbados;190718.0;1027.7783783783784;['Oxford/AstraZeneca']
162;French Polynesia;190080.0;931.6051282051282;['Johnson&Johnson, Pfizer/BioNTech']
163;Eswatini;181290.0;1130.3777777777777;['Oxford/AstraZeneca']
164;Curacao;180643.0;1124.0137931034483;['Moderna, Pfizer/BioNTech']
165;Jersey;146439.0;667.9285714285714;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
166;Aruba;143661.0;838.2013888888889;['Pfizer/BioNTech']
167;Seychelles;143490.0;682.5566037735849;['Oxford/AstraZeneca, Sinopharm/Beijing']
168;New Caledonia;139022.0;696.8;['Pfizer/BioNTech']
169;Gabon;127757.0;828.9735099337748;['Sinopharm/Beijing']
170;Isle of Man;125989.0;578.2075471698113;['Oxford/AstraZeneca, Pfizer/BioNTech']
171;Bahamas;119473.0;734.1625;['Oxford/AstraZeneca']
172;Papua New Guinea;113052.0;794.0359712230215;['Oxford/AstraZeneca']
173;Samoa;111250.0;973.2980769230769;['Oxford/AstraZeneca']
174;Liberia;109585.0;774.28;['Oxford/AstraZeneca']
175;Cayman Islands;99790.0;423.5611814345992;['Oxford/AstraZeneca, Pfizer/BioNTech']
176;Guernsey;98054.0;444.9326923076923;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
177;Benin;96579.0;714.07;['Oxford/AstraZeneca, Sinovac']
178;Central African Republic;95862.0;1018.3541666666666;['Covaxin, Oxford/AstraZeneca']
179;Andorra;91660.0;446.21287128712873;['Oxford/AstraZeneca, Pfizer/BioNTech']
180;Democratic Republic of Congo;86914.0;705.2741935483871;['Oxford/AstraZeneca']
181;Bermuda;84022.0;380.8288288288288;['Oxford/AstraZeneca, Pfizer/BioNTech']
182;Gibraltar;78570.0;370.4337899543379;['Pfizer/BioNTech']
183;Lesotho;72948.0;516.6690647482014;['Oxford/AstraZeneca']
184;Burkina Faso;71510.0;800.0933333333334;['Oxford/AstraZeneca']
185;Antigua and Barbuda;71434.0;405.878453038674;['Oxford/AstraZeneca']
186;Greenland;70371.0;325.18536585365854;['Moderna']
187;Faeroe Islands;69950.0;324.6089108910891;['Moderna, Pfizer/BioNTech']
188;Solomon Islands;63320.0;416.56164383561645;['Oxford/AstraZeneca']
189;Saint Lucia;61823.0;328.2741935483871;['Oxford/AstraZeneca']
190;South Sudan;56989.0;540.3714285714286;['Oxford/AstraZeneca']
191;Djibouti;54229.0;356.63709677419354;['Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V']
192;Turks and Caicos Islands;49107.0;231.65581395348838;['Pfizer/BioNTech']
193;Tonga;47553.0;408.5192307692308;['Oxford/AstraZeneca']
194;Sint Maarten (Dutch part);47084.0;232.30612244897958;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
195;San Marino;46073.0;270.5988372093023;['Pfizer/BioNTech, Sputnik V']
196;Chad;45390.0;555.3714285714286;['Sinopharm/Beijing']
197;Saint Kitts and Nevis;44750.0;261.80232558139534;['Oxford/AstraZeneca']
198;Monaco;44060.0;198.19634703196348;['Pfizer/BioNTech']
199;Sao Tome and Principe;43987.0;296.6363636363636;['Oxford/AstraZeneca']
200;Turkmenistan;41993.0;;['EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V']
201;Liechtenstein;41741.0;172.04166666666666;['Moderna, Pfizer/BioNTech']
202;Dominica;41435.0;223.4731182795699;['Oxford/AstraZeneca, Sinopharm/Beijing']
203;Grenada;39121.0;212.86338797814207;['Oxford/AstraZeneca']
204;Vanuatu;31042.0;399.5657894736842;['Oxford/AstraZeneca']
205;Guinea-Bissau;30471.0;284.0112359550562;['Oxford/AstraZeneca, Sinopharm/Beijing']
206;British Virgin Islands;29172.0;172.89285714285714;['Johnson&Johnson, Oxford/AstraZeneca']
207;Saint Vincent and the Grenadines;26690.0;116.02580645161291;['Oxford/AstraZeneca']
208;Haiti;24102.0;681.6060606060606;['Johnson&Johnson, Oxford/AstraZeneca']
209;Cook Islands;20509.0;314.48214285714283;['Oxford/AstraZeneca']
210;Anguilla;18457.0;102.56830601092896;['Oxford/AstraZeneca']
211;Nauru;14784.0;136.24545454545455;['Oxford/AstraZeneca']
212;Kiribati;13970.0;202.0;['Oxford/AstraZeneca']
213;Wallis and Futuna;9534.0;61.78082191780822;['Oxford/AstraZeneca']
214;Saint Helena;7892.0;84.81318681318682;['Oxford/AstraZeneca']
215;Bonaire Sint Eustatius and Saba;7391.0;;['Moderna, Pfizer/BioNTech']
216;Tuvalu;4772.0;37.95918367346939;['Oxford/AstraZeneca']
217;Falkland Islands;4407.0;74.74242424242425;['Oxford/AstraZeneca']
218;Montserrat;2828.0;16.379888268156424;['Oxford/AstraZeneca']
219;Niue;2406.0;52.265306122448976;['Oxford/AstraZeneca']
220;Tokelau;968.0;18.660714285714285;['Pfizer/BioNTech']
221;Pitcairn;83.0;0.7916666666666666;['Oxford/AstraZeneca']
